1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
47305.5555555556,47714.2857142857,46968.75,47870.9677419355,47571.4285714286,48250,47357.1428571429,59866.6666666667,57000,57086.9565217391,57694.4444444445,58162.1621621622,58176.4705882353,58806.4516129032,56880,58388.8888888889,58500,63433.3333333333,63454.5454545455,65894.7368421053,63500,66958.3333333333,67130.4347826087,67600,67538.4615384615
47305.5555555556,47714.2857142857,46968.75,47870.9677419355,47571.4285714286,48250,47357.1428571429,59866.6666666667,57000,57086.9565217391,57694.4444444445,58162.1621621622,58176.4705882353,58806.4516129032,56880,58388.8888888889,58500,63433.3333333333,63454.5454545455,65894.7368421053,63500,66958.3333333333,67130.4347826087,67600,67538.4615384615
108560.975609756,108306.451612903,108482.75862069,107903.846153846,108036.363636364,107265.306122449,106441.176470588,126380.952380952,123200,129611.111111111,125035.714285714,127090.909090909,129030.303030303,128514.285714286,125818.181818182,125793.103448276,126823.529411765,151515.151515152,155884.615384615,155230.769230769,150903.225806452,165516.129032258,164032.258064516,165058.823529412,162968.75
108560.975609756,108306.451612903,108482.75862069,107903.846153846,108036.363636364,107265.306122449,106441.176470588,126380.952380952,123200,129611.111111111,125035.714285714,127090.909090909,129030.303030303,128514.285714286,125818.181818182,125793.103448276,126823.529411765,151515.151515152,155884.615384615,155230.769230769,150903.225806452,165516.129032258,164032.258064516,165058.823529412,162968.75
108560.975609756,108306.451612903,108482.75862069,107903.846153846,108036.363636364,107265.306122449,106441.176470588,126380.952380952,123200,129611.111111111,125035.714285714,127090.909090909,129030.303030303,128514.285714286,125818.181818182,125793.103448276,126823.529411765,151515.151515152,155884.615384615,155230.769230769,150903.225806452,165516.129032258,164032.258064516,165058.823529412,162968.75
123200,121760,121789.473684211,121525,121355.93220339,121192.98245614,121483.870967742,132045.454545455,133066.666666667,133047.619047619,133903.225806452,133175,131027.027027027,131342.857142857,132535.714285714,132360,134666.666666667,142116.279069767,145900,145240,143354.838709677,143750,145307.692307692,144750,148250
123200,121760,121789.473684211,121525,121355.93220339,121192.98245614,121483.870967742,132045.454545455,133066.666666667,133047.619047619,133903.225806452,133175,131027.027027027,131342.857142857,132535.714285714,132360,134666.666666667,142116.279069767,145900,145240,143354.838709677,143750,145307.692307692,144750,148250
123200,121760,121789.473684211,121525,121355.93220339,121192.98245614,121483.870967742,132045.454545455,133066.666666667,133047.619047619,133903.225806452,133175,131027.027027027,131342.857142857,132535.714285714,132360,134666.666666667,142116.279069767,145900,145240,143354.838709677,143750,145307.692307692,144750,148250
103081.632653061,103825.396825397,102745.454545455,102106.382978723,103735.849056604,102625,103741.935483871,96416.6666666667,99500,98592.5925925926,98891.8918918919,97080,97800,97487.8048780488,98351.3513513513,99161.2903225806,97200,93957.4468085106,93627.9069767442,94710.5263157895,93975.6097560976,100378.378378378,98794.8717948718,98675,99547.619047619
103081.632653061,103825.396825397,102745.454545455,102106.382978723,103735.849056604,102625,103741.935483871,96416.6666666667,99500,98592.5925925926,98891.8918918919,97080,97800,97487.8048780488,98351.3513513513,99161.2903225806,97200,93957.4468085106,93627.9069767442,94710.5263157895,93975.6097560976,100378.378378378,98794.8717948718,98675,99547.619047619
103081.632653061,103825.396825397,102745.454545455,102106.382978723,103735.849056604,102625,103741.935483871,96416.6666666667,99500,98592.5925925926,98891.8918918919,97080,97800,97487.8048780488,98351.3513513513,99161.2903225806,97200,93957.4468085106,93627.9069767442,94710.5263157895,93975.6097560976,100378.378378378,98794.8717948718,98675,99547.619047619
124310.344827586,133128.205128205,131205.882352941,135062.5,133692.307692308,131666.666666667,133285.714285714,141437.5,142307.692307692,136666.666666667,137769.230769231,138714.285714286,139444.444444444,140032.258064516,140769.230769231,136250,139000,147108.108108108,146937.5,144310.344827586,146172.413793103,150500,146785.714285714,148806.451612903,150290.322580645
124310.344827586,133128.205128205,131205.882352941,135062.5,133692.307692308,131666.666666667,133285.714285714,141437.5,142307.692307692,136666.666666667,137769.230769231,138714.285714286,139444.444444444,140032.258064516,140769.230769231,136250,139000,147108.108108108,146937.5,144310.344827586,146172.413793103,150500,146785.714285714,148806.451612903,150290.322580645
124310.344827586,133128.205128205,131205.882352941,135062.5,133692.307692308,131666.666666667,133285.714285714,141437.5,142307.692307692,136666.666666667,137769.230769231,138714.285714286,139444.444444444,140032.258064516,140769.230769231,136250,139000,147108.108108108,146937.5,144310.344827586,146172.413793103,150500,146785.714285714,148806.451612903,150290.322580645
38055.5555555556,37469.387755102,37142.8571428571,37750,37839.2857142857,37339.2857142857,38057.1428571429,39521.7391304348,39473.6842105263,38260.8695652174,39161.2903225806,39236.8421052632,38631.5789473684,38833.3333333333,39370.3703703704,39520,39520,41650,42259.2592592593,41720,41100,43967.7419354839,43757.5757575758,44000,44083.3333333333
38055.5555555556,37469.387755102,37142.8571428571,37750,37839.2857142857,37339.2857142857,38057.1428571429,39521.7391304348,39473.6842105263,38260.8695652174,39161.2903225806,39236.8421052632,38631.5789473684,38833.3333333333,39370.3703703704,39520,39520,41650,42259.2592592593,41720,41100,43967.7419354839,43757.5757575758,44000,44083.3333333333
38055.5555555556,37469.387755102,37142.8571428571,37750,37839.2857142857,37339.2857142857,38057.1428571429,39521.7391304348,39473.6842105263,38260.8695652174,39161.2903225806,39236.8421052632,38631.5789473684,38833.3333333333,39370.3703703704,39520,39520,41650,42259.2592592593,41720,41100,43967.7419354839,43757.5757575758,44000,44083.3333333333
25875,25741.935483871,25904.7619047619,26428.5714285714,25481.4814814815,26375,26666.6666666667,27800,29200,27153.8461538461,27681.8181818182,27750,28130.4347826087,27708.3333333333,28263.1578947368,28133.3333333333,28842.1052631579,29173.9130434783,29105.2631578947,30000,30222.2222222222,31222.2222222222,30100,29952.380952381,30500
25875,25741.935483871,25904.7619047619,26428.5714285714,25481.4814814815,26375,26666.6666666667,27800,29200,27153.8461538461,27681.8181818182,27750,28130.4347826087,27708.3333333333,28263.1578947368,28133.3333333333,28842.1052631579,29173.9130434783,29105.2631578947,30000,30222.2222222222,31222.2222222222,30100,29952.380952381,30500
25875,25741.935483871,25904.7619047619,26428.5714285714,25481.4814814815,26375,26666.6666666667,27800,29200,27153.8461538461,27681.8181818182,27750,28130.4347826087,27708.3333333333,28263.1578947368,28133.3333333333,28842.1052631579,29173.9130434783,29105.2631578947,30000,30222.2222222222,31222.2222222222,30100,29952.380952381,30500
6937.5,6882.35294117647,6888.88888888889,6923.07692307692,6950,7000,6833.33333333333,8000,7666.66666666667,8200,7714.28571428571,7550,7294.11764705882,7470.58823529412,7461.53846153846,7545.45454545455,7750,8428.57142857143,8600,8833.33333333333,8529.41176470588,9000,9000,8923.07692307692,9214.28571428572
6937.5,6882.35294117647,6888.88888888889,6923.07692307692,6950,7000,6833.33333333333,8000,7666.66666666667,8200,7714.28571428571,7550,7294.11764705882,7470.58823529412,7461.53846153846,7545.45454545455,7750,8428.57142857143,8600,8833.33333333333,8529.41176470588,9000,9000,8923.07692307692,9214.28571428572
