info	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL,PC_ACT,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.1	14.3	13.5	12.5	11.6	11.7	10	7	6.1	7.7	17.5	19.5	16.2	15	11.9	10.8	9.9	9.6
TOTAL,PC_ACT,T,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7	7.6	7	7.6	7.2	6.9	6.8	6.5	6	6.9	6.9	6.4	6.3	6.4	5.8	5.4	4.7
TOTAL,PC_ACT,T,NL	6.1	5.7	5.7	6.5	7.2	8.3	7.7	6.5	5.1	4.2	3.7	3.1	3.7	4.8	5.7	5.9	5	4.2	3.7	4.4	5	5	5.8	7.3	7.4	6.9	6
TOTAL,PC_ACT,T,NO	5.2	5.5	5.9	6	5.4	4.9	4.7	3.9	3.1	3	3.2	3.4	3.7	4.2	4.3	4.5	3.4	2.5	2.5	3.2	3.6	3.3	3.2	3.5	3.5	4.4	4.7
TOTAL,PC_ACT,T,PL	: 	: 	: 	: 	: 	: 	: 	10.9	10.2	13.4	16.1	18.3	20	19.8	19.1	17.9	13.9	9.6	7.1	8.1	9.7	9.7	10.1	10.3	9	7.5	6.2
TOTAL,PC_ACT,T,PT	5.6	5	5	6.3	7.6	7.9	8	7.5	6.1	5.5	5.1	5.1	6.2	7.4	7.8	8.8	8.9	9.1	8.8	10.7	12	12.9	15.8	16.4	14.1	12.6	11.2
TOTAL,PC_ACT,T,RO	: 	: 	: 	: 	: 	: 	: 	6.1	6.3	7.1	7.6	7.4	8.3	7.7	8	7.1	7.2	6.4	5.6	6.5	7	7.2	6.8	7.1	6.8	6.8	5.9
TOTAL,PC_ACT,T,SE	1.7	3.1	5.6	9.1	9.4	8.8	9.6	9.9	8.2	6.7	5.6	5.8	6	6.6	7.4	7.7	7.1	6.1	6.2	8.3	8.6	7.8	8	8	7.9	7.4	6.9
TOTAL,PC_ACT,T,SI	: 	: 	: 	: 	: 	: 	6.9	6.9	7.4	7.4	6.7	6.2	6.3	6.7	6.3	6.5	6	4.9	4.4	5.9	7.3	8.2	8.9	10.1	9.7	9	8
TOTAL,PC_ACT,T,SK	: 	: 	: 	: 	: 	: 	: 	: 	12.7	16.5	18.9	19.5	18.8	17.7	18.4	16.4	13.5	11.2	9.6	12.1	14.5	13.7	14	14.2	13.2	11.5	9.7
TOTAL,PC_ACT,T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.5	9	9.1	10	13	11.1	9.1	8.4	9	9.9	10.3	10.9
TOTAL,PC_ACT,T,GB	6.9	8.6	9.8	10.2	9.3	8.5	7.9	6.8	6.1	5.9	5.4	5	5.1	5	4.7	4.8	5.4	5.3	5.6	7.6	7.8	8.1	7.9	7.5	6.1	5.3	4.8
TOTAL,PC_ACT,T,US	5.6	6.8	7.5	6.9	6.1	5.6	5.4	4.9	4.5	4.2	4	4.7	5.8	6	5.5	5.1	4.6	4.6	5.8	9.3	9.6	8.9	8.1	7.4	6.2	5.3	4.9
